Time,sGPU_0_Memory_Usage(MB),sGPU_1_Memory_Usage(MB),sGPU_2_Memory_Usage(MB),sGPU_3_Memory_Usage(MB),sGPU_4_Memory_Usage(MB),sGPU_5_Memory_Usage(MB),sGPU_6_Memory_Usage(MB)
56.21,387.47,429.85,353.77,530.78,444.13,423.05,366.63
56.31,365.51,443.79,339.82,546.12,458.50,361.04,380.63
56.41,377.23,443.62,310.63,551.09,435.18,390.78,399.20
56.51,349.32,438.22,338.80,511.38,485.62,414.88,353.41
56.61,372.80,431.05,323.61,553.06,431.15,419.82,362.41
56.71,355.92,432.33,360.31,566.47,458.29,365.68,385.55
56.81,360.13,438.29,345.68,568.58,450.19,398.74,375.10
56.91,345.16,429.32,359.69,527.17,451.20,405.58,332.83
57.01,337.02,461.89,357.87,526.26,443.04,364.90,368.78
57.11,349.37,443.76,321.16,589.87,432.98,381.12,333.97
57.21,373.63,450.92,300.77,553.57,424.61,410.27,374.42
57.31,358.75,467.46,369.15,524.01,449.54,352.84,349.44
57.41,351.44,459.17,356.47,533.78,424.15,401.17,335.98
57.51,342.00,474.60,362.11,557.16,421.01,356.40,386.02
57.61,375.30,453.79,310.72,535.19,460.13,374.92,356.15
57.71,358.24,440.39,385.65,518.53,450.61,362.22,341.76
57.81,382.57,472.67,375.81,532.04,395.46,350.23,335.58
57.92,335.06,486.58,367.10,551.75,418.38,321.11,369.82
58.02,407.22,465.79,352.58,568.71,430.92,330.05,391.11
58.12,375.69,479.01,345.50,552.88,423.10,354.03,347.35
58.22,381.07,480.94,356.55,575.53,418.93,373.67,343.75
58.32,377.72,509.14,415.57,493.41,407.38,360.84,314.85
58.42,353.02,506.57,383.23,539.61,418.05,361.70,360.51
58.52,381.43,507.67,368.93,558.60,395.19,317.39,355.34
58.62,383.77,486.40,376.89,524.56,406.35,325.90,367.20
58.72,354.54,512.32,377.51,557.48,423.26,364.88,346.11
58.82,393.34,529.01,386.69,546.56,440.95,352.01,387.76
58.92,367.29,516.93,350.64,529.66,357.77,328.83,367.54
59.02,411.35,506.80,375.37,505.49,427.30,321.11,361.84
59.12,383.22,470.18,358.62,519.21,393.20,306.56,362.17
59.22,409.95,515.52,361.78,552.01,411.90,309.35,415.02
59.32,368.61,517.07,414.93,529.43,401.25,334.24,409.24
59.42,389.97,543.26,382.97,506.98,391.98,311.91,381.58
59.52,388.23,533.96,383.10,519.58,378.94,341.00,347.25
59.62,370.10,513.29,376.13,536.07,383.39,319.00,406.23
59.72,417.16,517.71,413.61,535.94,403.98,347.17,390.45
59.82,450.84,556.92,373.29,504.21,419.33,343.33,392.23
59.92,399.26,525.34,391.65,522.41,337.84,344.99,402.53
60.02,414.27,506.27,388.60,479.46,392.13,350.28,391.58
60.12,403.17,554.59,354.60,506.84,346.54,320.48,381.18
60.22,434.68,521.12,375.96,493.90,367.12,347.72,426.81
60.32,395.93,583.85,401.29,488.80,339.49,339.71,397.50
60.42,427.08,550.21,344.99,501.44,375.42,395.10,407.86
60.52,404.35,525.83,364.03,483.36,370.82,362.62,451.28
60.62,435.67,534.71,375.90,494.03,382.39,303.29,382.78
60.72,422.39,563.72,335.19,444.26,358.96,341.63,447.31
60.82,427.44,514.33,350.58,474.68,330.54,329.70,447.83
60.93,456.86,537.30,397.47,456.70,349.41,390.89,471.21
